         x         y    formation_energy     super_cell_size                     mu_x                     mu_y
  0.000000  0.000000         -4.12712475                   1            -10000.000000            -10000.000000
  0.000000  0.166667         -9.40988251                   2                -3.850430                -9.003374
  0.000000  0.333333        -13.13049837                   1                -1.920796                 0.750779
  0.000000  0.666667        -10.07509643                   1                -0.693383                 5.627855
  0.000000  0.833333         -7.08477481                   2                 0.310595                 8.200308
  0.000000  1.000000         -1.87478880                   1                -0.000000             10000.000000
  0.166667  0.666667         -9.95897042                   2                 0.310595                 5.063359
  0.166667  0.833333         -6.47654437                   2                 2.530260                10.419972
  0.333333  0.666667         -9.76450098                   1                 1.879070                 8.200308
  0.666667  0.000000        -11.82798515                   1                -1.920796                -9.003374
  0.666667  0.166667        -13.87842050                   2                 1.938472                -2.689279
  0.666667  0.333333        -14.51726423                   1                 2.956280                 5.627855
  0.833333  0.000000        -10.96404943                   2                 1.938472                -4.100871
  0.833333  0.166667        -12.86028837                   2                 3.350063                -1.277687
  1.000000  0.000000         -9.88951353                   1             10000.000000                -0.000000
